Entity,Type,Town,ZIP,County,Contact Name,Email,Phone,Subject Line,Priority Tier,Est Revenue,Website,Notes,Status
Elk Grove Village,Municipality,Elk Grove Village,60007,Cook,Public Works / Purchasing,info@fosterpremier.com,847-439-3900,Exterior Building Maintenance — Elk Grove Village,B,"$8,000",elkgrove.org,"Population: 31,354; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works, Pavilion, Pirate's Cove, Lions Park Pool; Procurement Portal: Yes - Bids & RFPs page",Ready to Send
Niles,Municipality,Niles,60714,Cook,"Stephen Quinn, Director of Public Works",ContactNiles@vniles.com,847-588-7900,Exterior Building Maintenance — Niles,B,"$8,000",vniles.com,"Population: 29,482; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Senior Center, Fitness Center, Family Services building; Procurement Portal: Yes - Bids page",Ready to Send
Wilmette,Municipality,Wilmette,60091,Cook,"Dan Manis, Director of Engineering & Public Works",manisd@wilmette.com,847-853-7602,Exterior Building Maintenance — Wilmette,B,"$8,000",wilmette.com,"Population: 27,126; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Community Recreation Center, water plant; Procurement Portal: Yes - Purchasing page",Ready to Send
Morton Grove,Municipality,Morton Grove,60053,Cook,Public Works / Admin,info@fosterpremier.com,847-965-4100,Exterior Building Maintenance — Morton Grove,B,"$8,000",mortongroveil.org,"Population: 24,097; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, American Legion Civic Center, Senior Center; Procurement Portal: Yes - Bids page",Ready to Send
Rolling Meadows,Municipality,Rolling Meadows,60008,Cook,"Aaron Grosskopf, Public Works Director",,847-963-0500,Exterior Building Maintenance — Rolling Meadows,B,"$8,000",cityrm.org,"Population: 23,507; Municipal Buildings: City Hall, Police Station, 2 Fire Stations, Public Works, Community Center; Procurement Portal: Yes - Bids & RFPs",Phone First
Deerfield,Municipality,Deerfield,60015,Cook/Lake,"Daniel Van Dusen, Deputy Village Clerk",DEFIL_GM@hilton.com,(847) 374-0260,Exterior Building Maintenance — Deerfield,B,"$8,000",deerfield.il.us,"Population: 19,142; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works building, water plant; Procurement Portal: Yes - Bids page | Managed by: CRM Properties Group, LTD.",Ready to Send
Prospect Heights,Municipality,Prospect Heights,60070,Cook,Public Works / City Admin,CityAdministration@prospect-heights.org,847-398-6070,Exterior Building Maintenance — Prospect Heights,B,"$8,000",prospect-heights.il.us,"Population: 15,353; Municipal Buildings: City Hall, Police Station (shared fire), Public Works building, Gary Morava Recreation Center; Procurement Portal: Limited - check city website",Ready to Send
Lincolnwood,Municipality,Lincolnwood,60712,Cook,"Sokol Delisi, Village Clerk",sdelisi@lwd.org,847-745-4707,Exterior Building Maintenance — Lincolnwood,B,"$8,000",lincolnwoodil.org,"Population: 12,877; Municipal Buildings: Village Hall, Police Station, 1 Fire Station, Public Works, Community Center/Pool; Procurement Portal: Yes - Bids page",Ready to Send
Winnetka,Municipality,Winnetka,60093,Cook,Public Works / Finance,contactus@winnetka.org,847-501-6000,Exterior Building Maintenance — Winnetka,B,"$8,000",villageofwinnetka.org,"Population: 12,393; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Water Plant, Community House (private); Procurement Portal: Yes - Bids & RFPs",Ready to Send
Glencoe,Municipality,Glencoe,60022,Cook,Public Works / Village Manager,info@villageofglencoe.org,847-835-4111,Exterior Building Maintenance — Glencoe,B,"$8,000",villageofglencoe.org,"Population: 8,666; Municipal Buildings: Village Hall, Police/Fire Station (combined), Public Works building, Watts Recreation Center; Procurement Portal: Limited - check village website",Ready to Send
Inverness,Municipality,Inverness,60067,Cook,"Gerald Chapman, Village Clerk",contact@inverness-il.gov,847-358-7740,Exterior Building Maintenance — Inverness,B,"$8,000",villageofinverness.org,"Population: 7,344; Municipal Buildings: Village Hall (limited buildings - residential community); Procurement Portal: Limited",Ready to Send
Northfield,Municipality,Northfield,60093,Cook,"Melissa Jewett, Village Staff Contact",mjewett@northfieldil.org,847-446-9200,Exterior Building Maintenance — Northfield,B,"$8,000",northfieldil.org,"Population: 5,567; Municipal Buildings: Village Hall, Police Station, Public Works building; Procurement Portal: Limited",Ready to Send
Kenilworth,Municipality,Kenilworth,60043,Cook,"Michael Gagnon, Village Clerk",,847-251-1666,Exterior Building Maintenance — Kenilworth,B,"$8,000",villageofkenilworth.org,"Population: 2,402; Municipal Buildings: Village Hall, Police Station, Assembly Hall; Procurement Portal: No formal portal",Phone First
Golf,Municipality,Golf,60029,Cook,"Michelle Shapiro, Village Administrator",administrator@villageofgolf.us,847-699-1070,Exterior Building Maintenance — Golf,B,"$8,000",villageofgolf.org,Population: 501; Municipal Buildings: Village Hall (very small municipality); Procurement Portal: No formal portal | Managed by: Sterling Organization,Ready to Send
Riverwoods,Municipality,Riverwoods,60015,Cook/Lake,"Danice Moore, Village Clerk",dmoore@riverwoods.gov,847-945-3990,Exterior Building Maintenance — Riverwoods,B,"$8,000",riverwoods-il.org,"Population: 3,783; Municipal Buildings: Village Hall (residential community, limited buildings); Procurement Portal: No formal portal",Ready to Send
South Barrington,Municipality,South Barrington,60010,Cook,Village Admin,villagehall@southbarrington.org,847-381-7510,Exterior Building Maintenance — South Barrington,B,"$8,000",southbarrington.org,"Population: 5,059; Municipal Buildings: Village Hall, Police Station; Procurement Portal: Limited",Ready to Send
Barrington Hills,Municipality,Barrington Hills,60010,Cook/Lake,"Nikki Panos, Village Clerk",village@vbhil.gov,847-551-3000,Exterior Building Maintenance — Barrington Hills,B,"$8,000",barringtonhills-il.gov,"Population: 4,071; Municipal Buildings: Village Hall, Police Station, Public Works; Procurement Portal: Limited",Ready to Send
North Barrington,Municipality,North Barrington,60010,Cook/Lake,Village Admin,info@northbarrington.org,847-381-6000,Exterior Building Maintenance — North Barrington,B,"$8,000",northbarrington.org,"Population: 3,145; Municipal Buildings: Village Hall; Procurement Portal: No formal portal",Ready to Send
Deer Park,Municipality,Deer Park,60010,Cook/Lake,"Cheryl Martire, Village Clerk",info@shopdeerparktowncenter.com,847-726-7755,Exterior Building Maintenance — Deer Park,B,"$8,000",villageofdeerpark.com,"Population: 3,663; Municipal Buildings: Village Hall; Procurement Portal: No formal portal",Ready to Send
Lake Barrington,Municipality,Lake Barrington,60010,Cook/Lake,Village Admin,lakebarrington@lakebarrington.org,847-382-1660,Exterior Building Maintenance — Lake Barrington,B,"$8,000",villageofLakeBarrington.com,"Population: 5,195; Municipal Buildings: Village Hall; Procurement Portal: No formal portal | Managed by: FirstService Residential",Ready to Send
Waukegan,Municipality,Waukegan,60085,Lake,Purchasing,wkpurchasing@waukeganil.gov,847-599-2500,Exterior Building Maintenance — Waukegan,B,"$8,000",waukeganil.gov,"Population: 88,294; Municipal Buildings: City Hall, Police HQ, 5 Fire Stations, Public Works complex, multiple community centers, water plant, ARC recreation center; Procurement Portal: Yes - Purchasi",Ready to Send
Buffalo Grove,Municipality,Buffalo Grove,60089,Cook/Lake,"Michael Skibbe, Deputy Village Manager/PW Director",mskibbe@vbg.org,847-459-2525,Exterior Building Maintenance — Buffalo Grove,B,"$8,000",vbg.org,"Population: 43,061; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works, Alcott Center, Raupp Museum, Fitness Center; Procurement Portal: Yes - Bids & RFPs",Ready to Send
Mundelein,Municipality,Mundelein,60060,Lake,Village Hall,info@mundelein.org,847-949-3200,Exterior Building Maintenance — Mundelein,B,"$8,000",mundelein.org,"Population: 33,192; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Community Center; Procurement Portal: Yes - Bids page",Ready to Send
Highland Park,Municipality,Highland Park,60035,Lake,Finance Office,cityhp@cityhpil.com,847-432-0800,Exterior Building Maintenance — Highland Park,B,"$8,000",cityhpil.com,"Population: 31,112; Municipal Buildings: City Hall, Police Station, 3 Fire Stations, Public Works, Senior Center, Recreation Center, Sunset Woods Park building; Procurement Portal: Yes - Bids & RFPs p",Ready to Send
North Chicago,Municipality,North Chicago,60064,Lake,Public Works / Finance,HelpMeChicagoland@associa.us,847-490-3833,Exterior Building Maintenance — North Chicago,B,"$8,000",northchicago.org,"Population: 30,588; Municipal Buildings: City Hall, Police Station, 2 Fire Stations, Public Works building, Community Center; Procurement Portal: Yes - Purchasing page | Key contacts: AskUs@associa.us",Ready to Send
Gurnee,Municipality,Gurnee,60031,Lake,Finance Division,finance@village.gurnee.il.us,(847) 263-0030,Exterior Building Maintenance — Gurnee,B,"$8,000",gurnee.il.us,"Population: 30,490; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works, Hunt Club Community Center; Procurement Portal: Yes - Bids & Proposals | Managed by: Simon Propert",Ready to Send
Vernon Hills,Municipality,Vernon Hills,60061,Lake,"Christopher Venatta, Director of Public Works",christopherv@vhills.org,(847) 634-9300,Exterior Building Maintenance — Vernon Hills,B,"$8,000",vernonhills.org,"Population: 27,090; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Sullivan Community Center; Procurement Portal: Yes - Bids page",Ready to Send
Zion,Municipality,Zion,60099,Lake,"Sheryl Spooner, City Clerk",sheryls@zion.il.us,847-746-4012,Exterior Building Maintenance — Zion,B,"$8,000",cityofzion.com,"Population: 24,509; Municipal Buildings: City Hall, Police Station, 2 Fire Stations, Public Works, Community Center, Shiloh Park Center; Procurement Portal: Yes - Bids page",Ready to Send
Grayslake,Municipality,Grayslake,60030,Lake,"Cynthia E. Lee, Village Clerk",,847-223-8515,Exterior Building Maintenance — Grayslake,B,"$8,000",villageofgrayslake.com,"Population: 21,284; Municipal Buildings: Village Hall, Police Station, 1 Fire Station, Public Works building; Procurement Portal: Yes - Bids page",Phone First
Libertyville,Municipality,Libertyville,60048,Lake,"Paul K. Kendzior, Director of Public Works",pkendzior@libertyville.com,(847) 816-6644,Exterior Building Maintenance — Libertyville,B,"$8,000",libertyville.com,"Population: 20,683; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Civic Center; Procurement Portal: Yes - Bids & RFPs | Managed by: Unknown",Ready to Send
Lake Zurich,Municipality,Lake Zurich,60047,Lake,"Michael J. Brown, Director of Public Works",Mike.Brown@LakeZurich.org,847-540-5066,Exterior Building Maintenance — Lake Zurich,B,"$8,000",lakezurich.org,"Population: 20,046; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Community Center; Procurement Portal: Yes - Bids page",Ready to Send
Lake Forest,Municipality,Lake Forest,60045,Lake,City Hall,cityhall@cityoflakeforest.com,847-234-2600,Exterior Building Maintenance — Lake Forest,B,"$8,000",cityoflakeforest.com,"Population: 19,788; Municipal Buildings: City Hall, Police Station, 3 Fire Stations, Public Works complex, Recreation Center, Senior Center, water plant; Procurement Portal: Yes - Purchasing/Bids page",Ready to Send
Round Lake,Municipality,Round Lake,60073,Lake,"Lucy Nava, Village Clerk",lnava@rlpil.com,847-546-5400,Exterior Building Maintenance — Round Lake,B,"$8,000",roundlakeil.gov,"Population: 18,635; Municipal Buildings: Village Hall, Police Station, Public Works building; Procurement Portal: Limited - check website",Ready to Send
Antioch,Municipality,Antioch,60002,Lake,"Lori Romine, Village Clerk",,847-395-1000,Exterior Building Maintenance — Antioch,B,"$8,000",antioch.il.gov,"Population: 15,353; Municipal Buildings: Village Hall, Police Station, Public Works building, Senior Center; Procurement Portal: Yes - Bids page",Phone First
Lindenhurst,Municipality,Lindenhurst,60046,Lake,"Melissa Forsberg, Village Clerk",,847-356-8252,Exterior Building Maintenance — Lindenhurst,B,"$8,000",lindenhurstil.org,"Population: 14,659; Municipal Buildings: Village Hall, Police Station, Public Works building; Procurement Portal: Limited",Phone First
Beach Park,Municipality,Beach Park,60099,Lake,"Mary Jo McDonald, Village Clerk",,847-746-1770,Exterior Building Maintenance — Beach Park,B,"$8,000",villageofbeachpark.com,"Population: 14,200; Municipal Buildings: Village Hall, Public Works building; Procurement Portal: Limited",Phone First
Wauconda,Municipality,Wauconda,60084,Lake,Public Works / Village Admin,,847-526-9600,Exterior Building Maintenance — Wauconda,B,"$8,000",wauconda-il.gov,"Population: 14,048; Municipal Buildings: Village Hall, Police Station, Public Works building, Community Center; Procurement Portal: Yes - Bids page",Phone First
Fox Lake,Municipality,Fox Lake,60020,Lake,Public Works / Village Admin,,847-587-2151,Exterior Building Maintenance — Fox Lake,B,"$8,000",foxlake.org,"Population: 10,906; Municipal Buildings: Village Hall, Police Station, Public Works building; Procurement Portal: Limited",Phone First
Barrington,Municipality,Barrington,60010,Cook/Lake,"Nichole Satera, Director of Facilities",satera@barrington220.org,(847) 842-3282,Exterior Building Maintenance — Barrington,B,"$8,000",barrington-il.gov,"Population: 10,569; Municipal Buildings: Village Hall, Police Station, Public Works, Community Center; Procurement Portal: Yes - Bids & RFPs | Managed by: FirstService Residential",Ready to Send
Hawthorn Woods,Municipality,Hawthorn Woods,60047,Lake,Village Admin / Public Works,,847-438-5500,Exterior Building Maintenance — Hawthorn Woods,B,"$8,000",vhw.org,"Population: 9,830; Municipal Buildings: Village Hall, Public Works building, Aqua Center; Procurement Portal: Limited",Phone First
Lake Villa,Municipality,Lake Villa,60046,Lake,"Connie Olker, Village Clerk",leasing@glenlakeapts.com,(847) 720-7970,Exterior Building Maintenance — Lake Villa,B,"$8,000",lake-villa.org,"Population: 8,742; Municipal Buildings: Village Hall, Police Station, Public Works building; Procurement Portal: Limited",Ready to Send
Long Grove,Municipality,Long Grove,60047,Lake,Village Admin,info@fosterpremier.com,847-459-1222,Exterior Building Maintenance — Long Grove,B,"$8,000",longgrove.net,"Population: 8,401; Municipal Buildings: Village Hall (limited buildings - residential/rural); Procurement Portal: Limited",Ready to Send
Lincolnshire,Municipality,Lincolnshire,60069,Lake,"Manstandrea, Village Clerk",eric.bates@chicagomarriottlincolnshire.com,(847) 478-1400,Exterior Building Maintenance — Lincolnshire,B,"$8,000",village.lincolnshire.il.us,"Population: 8,041; Municipal Buildings: Village Hall, Police Station, Public Works, Spring Lake Park buildings; Procurement Portal: Yes - Bids page",Ready to Send
Park City,Municipality,Park City,60085,Lake,City Admin,cityhall@parkcityil.org,847-623-5030,Exterior Building Maintenance — Park City,B,"$8,000",parkcityillinois.org,"Population: 7,969; Municipal Buildings: City Hall, Police Station, Public Works; Procurement Portal: Limited",Ready to Send
Round Lake Beach,Municipality,Round Lake Beach,60073,Lake,"Margie Cleveland, Village Clerk",,847-546-2351,Exterior Building Maintenance — Round Lake Beach,B,"$8,000",roundlakebeachil.gov,"Population: 27,033; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works, Cultural & Civic Center; Procurement Portal: Yes - Bids page",Phone First
Round Lake Park,Municipality,Round Lake Park,60073,Lake,"Lucy Nava, Village Clerk",lnava@rlpil.com,847-546-2790,Exterior Building Maintenance — Round Lake Park,B,"$8,000",roundlakepark-il.gov,"Population: 7,922; Municipal Buildings: Village Hall, Public Works; Procurement Portal: Limited",Ready to Send
Winthrop Harbor,Municipality,Winthrop Harbor,60096,Lake,Public Works / Village Admin,,847-872-3846,Exterior Building Maintenance — Winthrop Harbor,B,"$8,000",winthropharbor.com,"Population: 6,555; Municipal Buildings: Village Hall, Police Station, Public Works; Procurement Portal: Limited",Phone First
Lakemoor,Municipality,Lakemoor,60051,Lake,Village Admin,villagehall@lakemoor.net,815-385-1117,Exterior Building Maintenance — Lakemoor,B,"$8,000",lakemoor.net,"Population: 6,589; Municipal Buildings: Village Hall, Police Station, Public Works; Procurement Portal: Limited",Ready to Send
Lake Bluff,Municipality,Lake Bluff,60044,Lake,"Graham Hallen, Village Clerk",,847-234-0774,Exterior Building Maintenance — Lake Bluff,B,"$8,000",lakebluff.org,"Population: 5,595; Municipal Buildings: Village Hall, Police Station, Public Works building, Recreation Center; Procurement Portal: Yes - Bids page",Phone First
Kildeer,Municipality,Kildeer,60047,Lake,"Michael Talbett, Chief Village Officer",mtalbett@villageofkildeer.com,847-438-6000,Exterior Building Maintenance — Kildeer,B,"$8,000",villageofkildeer.com,"Population: 4,791; Municipal Buildings: Village Hall (limited buildings); Procurement Portal: No formal portal",Ready to Send
Green Oaks,Municipality,Green Oaks,60048,Lake,"Claire Michelotti, Village Clerk",,847-362-5363,Exterior Building Maintenance — Green Oaks,B,"$8,000",greenoaks.org,"Population: 4,105; Municipal Buildings: Village Hall; Procurement Portal: No formal portal",Phone First
Hainesville,Municipality,Hainesville,60030,Lake,"Christina Reiser, Village Clerk",,847-223-2032,Exterior Building Maintenance — Hainesville,B,"$8,000",hainesville.org,"Population: 3,527; Municipal Buildings: Village Hall; Procurement Portal: No formal portal",Phone First
Bannockburn,Municipality,Bannockburn,60015,Lake,Village Admin,shannon@villageofbannockburn.org,847-945-6080,Exterior Building Maintenance — Bannockburn,B,"$8,000",bannockburn.org,"Population: 1,377; Municipal Buildings: Village Hall, Police Station; Procurement Portal: No formal portal",Ready to Send
Mettawa,Municipality,Mettawa,60045,Lake,Village Admin,clerk@mettawa.org,847-573-1460,Exterior Building Maintenance — Mettawa,B,"$8,000",mettawa.org,Population: 577; Municipal Buildings: Village Hall (very small municipality); Procurement Portal: No formal portal,Ready to Send
Island Lake,Municipality,Island Lake,60042,Lake,Village Admin / Public Works,voil@villageofislandlake.com,847-526-8764,Exterior Building Maintenance — Island Lake,B,"$8,000",villageofislandlake.com,"Population: 8,081; Municipal Buildings: Village Hall, Police Station, Public Works; Procurement Portal: Limited",Ready to Send
Volo,Municipality,Volo,60073,Lake,"Colleen Huhn, Village Clerk",,847-740-6982,Exterior Building Maintenance — Volo,B,"$8,000",villageofvolo.com,"Population: 7,936; Municipal Buildings: Village Hall, Public Works; Procurement Portal: Limited",Phone First
Wadsworth,Municipality,Wadsworth,60083,Lake,Village Admin,info@villageofwadsworth.org,847-336-7771,Exterior Building Maintenance — Wadsworth,B,"$8,000",villageofwadsworth.org,"Population: 3,501; Municipal Buildings: Village Hall; Procurement Portal: No formal portal",Ready to Send
Old Mill Creek,Municipality,Old Mill Creek,60046,Lake,Village Admin,villageofoldmillcreek@gmail.com,847-838-0275,Exterior Building Maintenance — Old Mill Creek,B,"$8,000",villageofoldmillcreek.com,Population: 158; Municipal Buildings: Village Hall (very small); Procurement Portal: No formal portal,Ready to Send
Third Lake,Municipality,Third Lake,60046,Lake,"Kelly Novak, Village Clerk",info@thirdlakevillage.com,847-223-8422,Exterior Building Maintenance — Third Lake,B,"$8,000",villageofthirdlake.com,"Population: 1,113; Municipal Buildings: Village Hall; Procurement Portal: No formal portal",Ready to Send
Round Lake Heights,Municipality,Round Lake Heights,60073,Lake,Village Admin,,847-546-1206,Exterior Building Maintenance — Round Lake Heights,B,"$8,000",roundlakeheights.org,"Population: 2,591; Municipal Buildings: Village Hall, Police Station; Procurement Portal: No formal portal",Phone First
CUSD 220,School District,Barrington,60010,Cook/Lake,"Nichole Satera, Director of Facilities",satera@barrington220.org,(847) 842-3282,Summer Building Cleaning — CUSD 220,A,"$15,000",,Est. Buildings: 12 schools + admin,Ready to Send
Skokie Park District,Park District,Skokie,60077,Cook,"Corrie Guynn, Superintendent of Parks & Facilities",cguynn@skokieparks.org,(847) 929-7802,Facility Exterior Maintenance — Skokie Park District,C,"$6,000",https://www.amres.co/,,Ready to Send
Arlington Heights Park District,Park District,Arlington Heights,60004,Cook,"Brian Meyer, Director of Recreation & Facilities",bmeyer@ahpd.org,(847) 506-3200,Facility Exterior Maintenance — Arlington Heights Park District,C,"$6,000",https://www.mcgillmanagement.com/contact, | Managed by: Unknown,Ready to Send
Glenview Park District,Park District,Glenview,60025,Cook,"Kris Mikkelsen, Superintendent of Parks & Facilities",kris.mikkelsen@glenviewparks.org,224-521-2325,Facility Exterior Maintenance — Glenview Park District,C,"$6,000",,,Ready to Send
Park Ridge Park District,Park District,Park Ridge,60068,Cook,Parks & Facilities Dept,managers@prcapts.com,(847) 744-9052,Facility Exterior Maintenance — Park Ridge Park District,C,"$6,000",,,Ready to Send
Northbrook Park District,Park District,Northbrook,60062,Cook,"James Kim, Director of Parks & Properties",,847-291-2960,Facility Exterior Maintenance — Northbrook Park District,C,"$6,000",,,Phone First
Elk Grove Park District,Park District,Elk Grove,60007,Cook,Parks & Facilities Dept,info@fosterpremier.com,847-459-1222,Facility Exterior Maintenance — Elk Grove Park District,C,"$6,000",https://fosterpremier.com/contact-us/proposal-request/,,Ready to Send
Morton Grove Park District,Park District,Morton Grove,60053,Cook,Parks & Facilities Dept,info@fosterpremier.com,847-459-1222,Facility Exterior Maintenance — Morton Grove Park District,C,"$6,000",https://fosterpremier.com/contact-us/proposal-request/,,Ready to Send
Highland Park Park District,Park District,Highland Park,60035,Lake,Parks & Facilities Dept,,847-926-4208,Facility Exterior Maintenance — Highland Park Park District,C,"$6,000",,,Phone First
Vernon Hills Park District,Park District,Vernon Hills,60061,Lake,Parks & Facilities Dept,439.frontdesk@hhmhotels.com,(847) 634-9300,Facility Exterior Maintenance — Vernon Hills Park District,C,"$6,000",,,Ready to Send
Lake Forest Parks & Recreation,Park District,Lake Forest Parks & Recreation,60045,Lake,Parks & Facilities Dept,,224-880-5742,Facility Exterior Maintenance — Lake Forest Parks & Recreation,C,"$6,000",,,Phone First
Buffalo Grove Park District,Park District,Buffalo Grove,60089,Lake/Cook,Parks & Facilities Dept,info@fosterpremier.com,847-459-1222,Facility Exterior Maintenance — Buffalo Grove Park District,C,"$6,000",https://fosterpremier.com/contact-us/proposal-request/,,Ready to Send
Waukegan Park District,Park District,Waukegan,60085,Lake,"Jon Beckmann, Director of Finance & Operations",jbeckmann@waukeganparks.org,(847) 360-4715,Facility Exterior Maintenance — Waukegan Park District,C,"$6,000",,,Ready to Send
North Chicago Park District,Park District,North Chicago,60064,Lake,Parks & Facilities Dept,HelpMeChicagoland@associa.us,847-490-3833,Facility Exterior Maintenance — North Chicago Park District,C,"$6,000",https://www.cbre.com/about-us/contact-us," | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
Grayslake Community Park District,Park District,Grayslake Community,60030,Lake,Parks & Facilities Dept,info@cai-illinois.org,(847) 301-7505,Facility Exterior Maintenance — Grayslake Community Park District,C,"$6,000",https://www.caionline.org/JoinNow/Pages/default.aspx,,Ready to Send
Long Grove Park District,Park District,Long Grove,60047,Lake,Parks & Facilities Dept,info@fosterpremier.com,847-459-1222,Facility Exterior Maintenance — Long Grove Park District,C,"$6,000",https://fosterpremier.com/contact-us/proposal-request/,,Ready to Send
Northfield Township,Township,"2550 Waukegan Rd Suite 210, Glenview, IL 60025",60025,Cook,Township Highway Commissioner / Supervisor,,(847) 724-8300,Exterior Maintenance Services — Northfield Township,D,"$3,000",,"Communities Served: Glenview, Northbrook, Northfield; Buildings: Township office, road district garage",Phone First
New Trier Township,Township,"739 Elm St, Winnetka, IL 60093",60093,Cook,Township Highway Commissioner / Supervisor,,(847) 446-8202,Exterior Maintenance Services — New Trier Township,D,"$3,000",,"Communities Served: Winnetka, Wilmette, Kenilworth, Glencoe, Northfield; Buildings: Township office (social services hub)",Phone First
