Church Name,Denomination,Address,Town,Phone,Email,Website,Size/Notes
Ss. Peter and Lambert Parish,Catholic,"8116 Niles Center Rd, Skokie, IL 60077",Skokie,(847) 673-1492,parish@stpeter-skokie.org,sspeterandlambert.org,"Merged parish with TWO church buildings (St. Peter + St. Lambert at 8148 N Karlov Ave). School. Multiple buildings across two campuses."
St. John Henry Newman Parish (St. Athanasius),Catholic,"1615 Lincoln St, Evanston, IL 60201",Evanston,(847) 328-1430,jsalako@newmanparish.com,newmanparish.com,"Catholic parish in Evanston with school. Church + school + parish buildings."
Saints Faith Hope & Charity,Catholic,"191 Linden St, Winnetka, IL 60093",Winnetka,(847) 446-7646,parishoffice@faithhope.org,faithhope.org,"Large Catholic parish with school. Church + school (faithhopeschool.org) + rectory + parish hall. Multiple buildings on North Shore."
Divine Mercy Parish,Catholic,"1077 Tower Rd, Winnetka, IL 60093",Winnetka,(847) 446-8056,jpyke@divinemercynorthshore.org,divinemercynorthshore.org,"Merged parish with TWO worship sites (Sacred Heart in Winnetka + St. Philip in Northfield at 1962 Old Willow Rd). K-8 school. Multiple buildings across two locations."
Saints Joseph & Francis Xavier (JFX),Catholic,"524 9th St, Wilmette, IL 60091",Wilmette,(847) 256-4250,,ssjfx.org,"LARGE merged Catholic parish with dual-campus school. St. Joseph Campus (preschool) + St. Francis Xavier Campus (K-8). Blue Ribbon school. Multiple buildings at two Wilmette locations."
St. Norbert and Our Lady of the Brook,Catholic,"1809 Walters Ave, Northbrook, IL 60062",Northbrook,(847) 272-7090,ann@northbrookcatholic.church,northbrookcatholic.church,"Catholic parish with school (St. Norbert School). Church + school + parish buildings."
Our Lady of Perpetual Help,Catholic,"1775 Grove St, Glenview, IL 60025",Glenview,(847) 729-1525,,olphglenview.org,"VERY LARGE CATHOLIC PARISH. Largest Catholic elementary school in Chicago Archdiocese (school at 1123 Church St). Church + large school building + parish center. Multiple buildings."
St. Catherine Laboure,Catholic,"3535 Thornwood Ave, Glenview, IL 60026",Glenview,(847) 729-1414,,stcatherinelaboure.com,"Catholic parish with school (at 3425 Thornwood Ave). Church + school + parish buildings. 50+ years serving Glenview."
Holy Cross Catholic Church,Catholic,"724 Elder Ln, Deerfield, IL 60015",Deerfield,(847) 945-0430,HCPweb@holycrossparish.net,holycrossparish.net,"Catholic parish with school. Church + school + parish buildings in Deerfield."
St. Joseph Catholic Church,Catholic,"121 E Maple Ave, Libertyville, IL 60048",Libertyville,(847) 362-2073,office@stjoseph-libertyville.org,stjoseph-libertyville.org,"VERY LARGE CATHOLIC PARISH. 3,000+ families. Large campus with church + school + rectory + parish center. Multiple buildings."
St. Mary of the Annunciation,Catholic,"22333 W Erhart Rd, Mundelein, IL 60060",Mundelein,(847) 223-0010,parish@stmota.org,stmaryfc.org,"Large Catholic parish. 1,600+ families, 60+ ministries. Large church building + parish facilities on rural campus."
St. Patrick Catholic Church,Catholic,"991 S Waukegan Rd, Lake Forest, IL 60045",Lake Forest,(847) 234-1401,office@stpatrick-lakeforest.org,stpatrick-lakeforest.org,"Historic Catholic parish (founded 1849). Main Church + Old Church + parish buildings. One of oldest in Archdiocese."
Christ Our Hope (Immaculate Conception),Catholic,"726 Deerfield Rd, Highland Park, IL 60035",Highland Park,(847) 433-0130,,cohparish.org,"Catholic parish in Highland Park. Church + parish buildings."
Most Blessed Trinity Parish,Catholic,"450 Keller Ave, Waukegan, IL 60085",Waukegan,(847) 623-2655,blessedtrinity@archchicago.org,mbtparish.org,"VERY LARGE merged parish. THREE church buildings: Holy Family (450 Keller Ave), Immaculate Conception (508 Grand Ave, Waukegan), Queen of Peace (910 14th St, N Chicago). Plus academy (510 Grand Ave). 4+ buildings."
St. Paul the Apostle,Catholic,"6401 Gages Lake Rd, Gurnee, IL 60031",Gurnee,(847) 918-0600,info@spa.church,saintpaultheapostle.church,"Large Catholic parish in Gurnee. Church + parish center."
St. Francis de Sales,Catholic,"33 S Buesching Rd, Lake Zurich, IL 60047",Lake Zurich,(847) 438-6622,parishoffice@stfrancislz.org,stfrancislzparish.org,"Large Catholic parish with school. Church + Ministry Center (135 S Buesching) + school (11 S Buesching). Multiple buildings."
St. Mary Parish,Catholic,"10 N Buffalo Grove Rd, Buffalo Grove, IL 60089",Buffalo Grove,(847) 541-1450,parish@stmarybg.org,stmarybg.org,"Catholic parish with school (at 50 N Buffalo Grove Rd). Church + school + parish buildings."
St. Joseph the Worker,Catholic,"181 W Dundee Rd, Wheeling, IL 60090",Wheeling,(847) 537-2740,frmarcin@stjosephworker.com,stjosephworker.com,"Catholic parish with school. Trilingual parish (English/Polish/Spanish). Church + school + parish buildings."
St. Zachary Parish,Catholic,"567 W Algonquin Rd, Des Plaines, IL 60016",Des Plaines,(847) 956-7020,parishoffice@saintzachary.org,saintzachary.org,"Catholic parish. Large church building + parish center + former school building. Multiple buildings on campus."
Our Lady of the Blessed Sacrament,Catholic,"750 W Elk Grove Blvd, Elk Grove Village, IL 60007",Elk Grove Village,(847) 979-0901,info@OLBSEGV.org,olbsegv.org,"Merged parish with TWO church buildings: Queen of the Rosary + St. Julian Eymard (601 Biesterfield Rd). Blue Ribbon school (PK-8, at 690 Elk Grove Blvd). 3+ buildings."
St. Clare of Assisi (merged St. Colette),Catholic,"3900 Meadow Dr, Rolling Meadows, IL 60008",Rolling Meadows,(847) 437-6208,stclareofassisi@archchicago.org,stclareofassisi.com,"Merged Catholic parish. Church + parish facilities."
University of St. Mary of the Lake / Mundelein Seminary,Catholic Seminary,"1000 E Maple Ave, Mundelein, IL 60060",Mundelein,(847) 566-6401,mundeleinseminary@usml.edu,usml.edu,"MASSIVE CAMPUS. Largest Catholic seminary in US. 200+ seminarians. Dozens of historic buildings, chapel, library, dormitories, offices on sprawling lakeside campus. HUGE power washing opportunity."
First Presbyterian Church of Lake Forest,Presbyterian (PCUSA),"700 N Sheridan Rd, Lake Forest, IL 60045",Lake Forest,(847) 234-6250,info@firstchurchlf.org,firstchurchlf.org,"Historic large church (founded 1859). Large stone building + preschool + education wing. Prominent Lake Forest landmark."
Winnetka Presbyterian Church,Presbyterian (PCUSA),"1255 Willow Rd, Winnetka, IL 60093",Winnetka,(847) 446-7777,office@winnpres.org,winnpres.org,"Large Presbyterian church on North Shore. Established 1956. Large building."
Winnetka Congregational Church,United Church of Christ,"725 Pine St, Winnetka, IL 60093",Winnetka,(847) 441-3400,wcc@winnetkacongregationalchurch.org,winnetkacongregationalchurch.org,"Historic large church (since 1874). Prominent stone building on North Shore."
Kenilworth Union Church,Non-Denominational (Historic),"211 Kenilworth Ave, Kenilworth, IL 60043",Kenilworth,(847) 251-4272,info@kuc.org,kuc.org,"Oldest non-denominational church in the US. Historic large stone building + additions. Recently approved major building addition. Prestigious North Shore location."
Trinity United Methodist Church,United Methodist,"1024 Lake Ave, Wilmette, IL 60091",Wilmette,(847) 251-7333,trinityinfo@trinitywilmette.org,trinitywilmette.com,"Large Methodist church with nursery school. Prominent building on Lake Ave in Wilmette."
Glenview United Methodist Church,United Methodist,"727 Harlem Ave, Glenview, IL 60025",Glenview,(847) 729-1015,,glenviewumc.org,"Methodist church with large building in Glenview."
Kingswood United Methodist Church,United Methodist,"401 W Dundee Rd, Buffalo Grove, IL 60089",Buffalo Grove,(847) 398-0770,,kingswoodumc.com,"Methodist church with multiple campus programs. Building on Dundee Rd."
Gloria Dei Lutheran Church,Lutheran (ELCA),"1133 Pfingsten Rd, Northbrook, IL 60062",Northbrook,(847) 272-0400,,gloriadeinorthbrook.org,"ELCA Lutheran church. Established 1956. Church building in Northbrook."
Immanuel Lutheran Church,Lutheran (LCMS),"855 Lee St, Des Plaines, IL 60016",Des Plaines,(847) 824-3652,immanueldp@immanueldp.org,immanueldp.org,"Lutheran church with community outreach programs including cafe and food bank."
North Shore Congregation Israel,Reform Jewish,"1185 Sheridan Rd, Glencoe, IL 60022",Glencoe,(847) 835-0724,toddb@nsci.org,nsci.org,"LARGE REFORM SYNAGOGUE. Landmark Minoru Yamasaki-designed building on lakefront. Major architectural landmark. Large campus."
North Suburban Synagogue Beth El,Conservative Jewish,"1175 Sheridan Rd, Highland Park, IL 60035",Highland Park,(847) 432-8900,office@nssbethel.org,nssbethel.org,"LARGE CONSERVATIVE SYNAGOGUE. 6.5-acre campus overlooking Lake Michigan. Large building complex."
Makom Solel Lakeside,Reform Jewish,"1301 Clavey Rd, Highland Park, IL 60035",Highland Park,(847) 433-3555,office@mymakom.org,mymakom.org,"Large Reform synagogue. 5.5-acre campus. Merged congregation with building addition (2010). Large facility."
Temple Jeremiah,Reform Jewish,"937 Happ Rd, Northfield, IL 60093",Northfield,(847) 441-5760,office@templejeremiah.org,templejeremiah.org,"Large Reform synagogue. Church + school building. Prominent North Shore congregation."
Temple Beth Israel,Reform Jewish,"3601 W Dempster St, Skokie, IL 60076",Skokie,(847) 675-0951,info@TBISkokie.org,tbiskokie.org,"Reform synagogue. Large building on Dempster St in Skokie."
Congregation B'nai Jehoshua Beth Elohim (BJBE),Reform Jewish,"1201 Lake Cook Rd, Deerfield, IL 60015",Deerfield,(847) 940-7575,bjbe@bjbe.org,bjbe.org,"VERY LARGE REFORM SYNAGOGUE. 850 member families. Four worship spaces (capacity up to 1,200). Large modern campus."
Congregation Beth Shalom,Conservative Jewish,"3433 Walters Ave, Northbrook, IL 60062",Northbrook,(847) 498-4100,cbsnb3433@aol.com,bethshalomnb.org,"LARGE CONSERVATIVE SYNAGOGUE. 950+ member families. One of largest Conservative synagogues on North Shore. Large building."
Jewish Reconstructionist Congregation (JRC),Reconstructionist Jewish,"303 Dodge Ave, Evanston, IL 60202",Evanston,(847) 328-7678,info@jrctogether.org,jrctogether.org,"Large Reconstructionist synagogue. 500+ households. Purpose-built facility."
